,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
26,N/A,N/A,altr,N/A,N/A,N/A,N/A,N/A,0.68,65.96,5.88,5.27,29.82,9.98,7.72,1960000000.0,6.35,1960000000.0,1760000000.0,65.96,6.40,5.27,81.64,5.27,21510000.0,1960000000.0,99410000.0,0.66,39210000.0,8.50,39210000.0,0.67,0.68,0.73,1.22,16090000.0,1960000000.0,30.19,49.82,0.05,0.05,0.28,0.00,N/A
27,N/A,N/A,alxn,N/A,N/A,N/A,N/A,N/A,36.33,56.75,7.00,2.79,12.48,27.69,4.58,24860000000.0,15.86,24860000000.0,28400000000.0,13.21,0.93,8.00,19.31,8.00,3100000000.0,24860000000.0,443300000.0,1.97,67.60,9.50,1480000000.0,6.69,3230000000.0,3.10,40.01,1120000000.0,24860000000.0,0.64,97.53,4790000.0,1.91,2.52,5230000.0,N/A
28,N/A,N/A,amat,N/A,N/A,N/A,N/A,N/A,62.37,20.99,3.79,6.88,18.54,27.53,15.24,58570000000.0,14.48,58570000000.0,56280000000.0,12.04,0.66,3.64,12.01,3.64,6530000000.0,58570000000.0,2870000000.0,2.66,80.80,28.20,7450000000.0,7.09,5300000000.0,2.96,8.10,4280000000.0000005,58570000000.0,0.43,81.70,10950000.0,1.22,1.02,10710000.0,N/A
29,N/A,N/A,amd,N/A,N/A,N/A,N/A,N/A,228.31,252.00,1.83,15.95,0.81,3.83,3.72,9770000000.0,5.60,9770000000.0,10780000000.0,19.02,62.63,2.02,30.99,2.02,1820000000.0,9770000000.0,0.040,0.040,1180000000.0,33.80,1180000000.0,1.22,1400000000.0,1.76,0.63,111750000.0,9770000000.0,0.64,72.56,173100000.0,2.61,21.82,154970000.0,N/A
30,N/A,N/A,amgn,N/A,N/A,N/A,N/A,N/A,140.02,64.17,5.44,4.94,8.66,45.60,8.26,124380000000.0,31.26,124380000000.0,120540000000.0,12.28,3.07,5.28,9.74,5.28,18780000000.0,124380000000.0,1980000000.0,2.6900,41680000000.0,2.70,41680000000.0,57.84,35340000000.0,5.49,34.95,11180000000.0,124380000000.0,0.16,82.33,8029999.999999999,2.71,1.09,7900000.0,N/A
31,N/A,N/A,amp,N/A,N/A,N/A,N/A,N/A,95.28,15.48,1.77,3.57,12.26,25.88,1.36,21350000000.0,78.36,21350000000.0,24980000000.0,9.22,0.66,2.07,7.44,2.07,9840000000.0,21350000000.0,1480000000.0,9.44,54.70,3.20,3720000000.0,25.45,5710000000.0,2.49,40.90,1700000000.0,21350000000.0,0.36,88.85,2340000.0,2.97,1.52,1750000.0,N/A
32,N/A,N/A,amt,N/A,N/A,N/A,N/A,N/A,254.01,53.99,9.34,9.90,18.59,34.07,4.43,62260000000.0,15.56,62260000000.0,80730000000.0,38.85,1.92,12.11,20.25,12.11,4610000000.0,62260000000.0,1150000000.0,2.670,4.10,10.70,802100000.0,1.87,20210000000.0,0.81,14.56,2930000000.0,62260000000.0,0.15,91.54,6860000.0,3.25,1.62,5550000.0,N/A
33,N/A,N/A,amzn,N/A,N/A,N/A,N/A,N/A,159.32,233.58,3.91,25.09,1.70,2.31,2.39,695420000000.0,370.55,695420000000.0,781200000000.0,93.34,7.06,4.39,51.94,4.39,65930000000.00001,695420000000.0,3030000000.0,6.1500,147.90,38.20,30990000000.0,64.01,44150000000.0,1.04,57.25,18430000000.0,695420000000.0,16.39,61.81,5600000.0,1.44,1.41,5930000.0,N/A
34,N/A,N/A,an,N/A,N/A,N/A,N/A,N/A,274.79,10.68,0.20,1.83,2.02,3.67,4.86,4340000000.0,220.19,4340000000.0,10830000000.0,9.11,1.29,0.50,11.41,0.50,3360000000.0,4340000000.0,4.43,4.43,31.20,3.70,69200000.0,0.75,6510000000.0,0.85,25.88,540100000.0,4340000000.0,13.25,91.92,11460000.0,9.2,18.00,13070000.0,N/A
35,N/A,N/A,anf,N/A,N/A,N/A,N/A,N/A,23.98,263.70,0.51,1.45,0.20,2.71,2.56,1790000000.0,51.07,1790000000.0,1200000000.0,29.63,2.50,0.34,4.14,0.34,2029999999.9999998,1790000000.0,7090000.0,0.10,52.10,15.10,675560000.0,9.91,300340000.0,2.49,18.22,0.66,1790000000.0,0.72,107.03,0.05,0.05,0.00,0.8,N/A
36,N/A,N/A,aon,N/A,N/A,N/A,N/A,N/A,128.36,29.82,3.46,7.58,12.26,16.32,3.87,34560000000.0,38.68,34560000000.0,39070000000.0,15.42,1.16,3.91,19.79,3.91,1970000000.0,34560000000.0,4.71,4.71,1190000000.0,9.80,1190000000.0,4.83,5970000000.0,1.07,18.51,1640000000.0,34560000000.0,1.06,91.77,3180000.0,2.7,1.22,2820000.0,N/A
37,N/A,N/A,apa,N/A,N/A,N/A,N/A,N/A,96.51,11.26,2.53,1.97,22.51,12.35,2.01,14640000000.0,15.20,14640000000.0,20750000000.0,26.65,0.35,3.58,6.16,3.58,4310000000.0,14640000000.0,1300000000.0,3.41,1670000000.0,10.80,1670000000.0,4.37,8480000000.0,1.45,19.47,2430000000.0,14640000000.0,0.18,98.53,25900000.0,7.24,6.82,26960000.0,N/A
38,N/A,N/A,apc,N/A,N/A,N/A,N/A,N/A,124.06,36.06,2.91,2.97,4.16,14.51,2.27,31870000000.0,20.02,31870000000.0,43730000000.0,36.06,2.91,3.99,11.26,3.99,8430000000.0,31870000000.0,0.85,0.85,4570000000.0,18.00,4570000000.0,8.58,17110000000.0,1.73,20.15,4010000000.0,31870000000.0,0.36,90.24,0.05,0.05,0.00,1.75,N/A
39,N/A,N/A,apd,N/A,N/A,N/A,N/A,N/A,34.58,12.62,4.21,3.51,33.51,20.78,6.48,35840000000.0,39.04,35840000000.0,35720000000.0,20.16,2.01,4.19,13.44,4.19,2430000000.0,35840000000.0,1040000000.0,12.97,48.40,17.70,3140000000.0,14.33,3570000000.0,2.92,46.66,1610000000.0,35840000000.0,0.21,89.02,2720000.0,2.77,1.26,2430000.0,N/A
40,N/A,N/A,aph,N/A,N/A,N/A,N/A,N/A,87.61,41.29,3.71,6.52,9.28,20.42,9.67,25980000000.0,22.93,25980000000.0,28720000000.0,22.56,2.84,4.10,17.32,4.10,2310000000.0,25980000000.0,650500000.0,2.06,1750000000.0,17.70,1750000000.0,5.74,3540000000.0,2.95,13.05,1140000000.0,25980000000.0,0.38,100.26,0.23,0.23,0.00,5680000.0,N/A
41,N/A,N/A,arg,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42,N/A,N/A,arna,N/A,N/A,N/A,N/A,N/A,29.81,10.94,83.50,6.89,0.00,374.90,19.67,1780000000.0,0.65,1780000000.0,1380000000.0,10.94,0.65,64.72,18.24,64.72,21340000.0,1780000000.0,94530000.0,2.77,247080000.0,82.00,247080000.0,6.27,61750000.0,3.89,5.27,66640000.0,1780000000.0,0.27,74.32,2770000.0,5.53,11.21,2680000.0,N/A
43,N/A,N/A,ati,N/A,N/A,N/A,N/A,N/A,83.53,12.27,0.88,1.78,2.61,5.52,2.35,3100000000.0,32.02,3100000000.0,4430000000.0,12.27,0.41,1.26,12.47,1.26,355500000.0,3100000000.0,91900000.0,0.83,82.80,14.30,141600000.0,1.13,1540000000.0,2.69,13.82,22400000.0,3100000000.0,18.28,0.00,0.03,0.03,0.00,0.00,N/A
44,N/A,N/A,atvi,N/A,N/A,N/A,N/A,N/A,46.40,186.31,7.25,5.37,3.89,19.08,4.63,50880000000.0,9.31,50880000000.0,52540000000.0,22.36,1.58,7.49,23.59,7.49,4520000000.0,50880000000.0,0.36,0.36,4770000000.0,1.40,4770000000.0,6.28,4390000000.0,1.78,12.49,2210000000.0,50880000000.0,7.49,89.09,15730000.0,2.46,2.51,12330000.0,N/A
45,N/A,N/A,avb,N/A,N/A,N/A,N/A,N/A,70.71,26.00,10.42,2.19,40.06,37.85,2.86,22810000000.0,15.92,22810000000.0,29350000000.0,35.67,14.76,13.41,20.78,13.41,2160000000.0,22810000000.0,874460000.0,6.35,1.90,12.60,67090000.0,0.49,7350000000.0,0.72,75.43,1260000000.0,22810000000.0,0.30,96.47,3630000.0,6.26,3.58,3480000.0,N/A
46,N/A,N/A,avp,N/A,N/A,N/A,N/A,N/A,1.43,9.40,0.22,0.40,0.38,5.84,5.86,1280000000.0,13.00,1280000000.0,2310000000.0,9.40,0.14,0.40,5.54,0.40,3510000000.0,1280000000.0,1400000.0,0.00,881500000.0,0.00,881500000.0,1900000000.0,1900000000.0,1.43,1.65,262600000.00000003,1280000000.0,0.39,85.76,0.00,0.00,0.00,0.06,N/A
47,N/A,N/A,avy,N/A,N/A,N/A,N/A,N/A,151.18,33.89,1.41,8.92,4.26,11.07,9.60,9350000000.0,74.90,9350000000.0,10650000000.0,16.55,1.48,1.61,12.08,1.61,1810000000.0,9350000000.0,281800000.0,3.13,246700000.0,11.90,246700000.0,2.81,1580000000.0,1.13,11.89,650100000.0,9350000000.0,0.63,89.58,1590000.0,2.29,2.02,1900000.0,N/A
48,N/A,N/A,axp,N/A,N/A,N/A,N/A,N/A,339.71,31.79,2.67,4.45,8.98,24.82,1.61,81220000000.0,34.50,81220000000.0,110550000000.0,11.89,1.30,3.63,8.98,3.63,2630000000.0,81220000000.0,2630000000.0,2.970,33049999999.999996,8.30,33049999999.999996,38.42,61920000000.0,1.77,21.22,13540000000.0,81220000000.0,0.25,85.56,11500000.0,3.38,1.54,14010000.0,N/A
49,N/A,N/A,azo,N/A,N/A,N/A,N/A,N/A,0.98,13.41,1.53,1.99,12.00,18.47,14.04,17030000000.000002,400.66,17030000000.000002,22160000000.0,11.08,1.13,1.99,9.27,1.99,5740000000.0,17030000000.000002,1340000000.0,47.22,22.10,5.40,320460000.0,11.91,5040000000.0,0.98,48.83,1760000000.0,17030000000.000002,0.69,99.96,0.00,0.00,0.00,0.00,N/A
50,N/A,N/A,ba,N/A,N/A,N/A,N/A,N/A,698.30,24.86,2.10,555.42,8.78,10.76,6.89,196020000000.0,155.01,196020000000.0,189210000000.0,19.98,1.29,2.03,15.61,2.03,17330000000.0,196020000000.0,8189999999.999999,13.430,92.00,8.90,9990000000.0,16.98,11120000000.0,1.16,0.60,13340000000.0,196020000000.0,0.10,72.21,6220000.0,2.04,1.13,6630000.0,N/A
51,N/A,N/A,bac,N/A,N/A,N/A,N/A,N/A,23.80,19.48,3.70,1.28,21.72,34.80,0.82,310470000000.0,8.23,310470000000.0,274740000000.0,10.54,0.79,3.27,21.72,3.27,16620000000.000002,310470000000.0,16620000000.000002,1.559,45.40,1.10,522179999999.99994,49.65,471230000000.0,23.80,23.80,10400000000.0,310470000000.0,0.08,70.99,121670000.0,1.9,1.22,128020000.00000001,N/A
