,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
105,N/A,N/A,csco,N/A,N/A,N/A,N/A,N/A,54.81,22.17,4.40,3.21,20.26,26.20,6.09,210400000000.0,9.57,210400000000.0,174740000000.0,16.37,1.91,3.66,12.10,3.66,30220000000.0,210400000000.0,9680000000.0,1.92,3.10,1.70,71590000000.0,14.48,35930000000.0,2.87,13.24,14230000000.0,210400000000.0,0.07,78.12,45460000.0,2.72,0.91,49340000.0,N/A
106,N/A,N/A,csx,N/A,N/A,N/A,N/A,N/A,80.22,9.67,4.54,3.57,47.96,33.07,6.63,51760000000.0,12.48,51760000000.0,63970000000.0,16.04,1.07,5.61,12.57,5.61,8289999999.999999,51760000000.0,5470000000.0,5.99,803.90,5.70,0.46,0.46,11810000000.0,1.01,16.21,3470000000.0,51760000000.0,5.06,72.14,16320000.0,2.71,1.86,15900000.0,N/A
107,N/A,N/A,ctas,N/A,N/A,N/A,N/A,N/A,111.01,33.25,2.98,7.00,9.27,15.72,10.54,17860000000.0,56.84,17860000000.0,20310000000.0,25.30,2.26,3.38,17.04,3.38,2380000000.0,17860000000.0,489280000.0,5.05,2.30,26.40,258730000.00000003,2.43,2830000000.0,1.77,23.98,841170000.0,17860000000.0,14.81,68.69,3870000.0,8.2,4.39,3520000.0,N/A
108,N/A,N/A,ctl,N/A,N/A,N/A,N/A,N/A,192.73,31.41,1.17,0.77,1.89,13.76,2.94,19480000000.0,30.73,19480000000.0,44300000000.0,14.46,0.71,2.66,7.46,2.66,9700000000.0,19480000000.0,0.58,0.58,39.50,7.90,0.15,0.15,24980000000.0,0.82,23.58,3800000000.0,19480000000.0,0.76,60.07,51360000.0,2.91,9.41,138770000.0,N/A
109,N/A,N/A,ctsh,N/A,N/A,N/A,N/A,N/A,7.50,24.30,3.20,4.21,13.42,16.99,10.84,46250000000.0,24.18,46250000000.0,42070000000.0,17.95,1.53,2.91,14.63,2.91,5380000000.0,46250000000.0,1940000000.0,3.23,11.50,9.10,4710000000.0,7.99,7.50,3.29,18.61,2150000000.0,46250000000.0,0.54,91.64,10160000.0,3.16,1.74,8640000.0,N/A
110,N/A,N/A,ctxs,N/A,N/A,N/A,N/A,N/A,70.99,32.08,4.12,7.15,13.37,21.89,8.30,14270000000.0,22.65,14270000000.0,14180000000.0,19.81,2.47,4.09,14.35,4.09,2860000000.0,14270000000.0,550710000.0,2.95,3.90,3.30,1500000000.0,9.98,1420000000.0,1.44,13.25,913560000.0,14270000000.0,1.05,95.48,5500000.0,3.08,3.52,5850000.0,N/A
111,N/A,N/A,cvs,N/A,N/A,N/A,N/A,N/A,73.96,16.90,0.46,2.38,2.77,5.40,6.58,83080000000.0,176.61,83080000000.0,106070000000.0,12.75,2.26,0.58,8.60,0.58,28860000000.0,83080000000.0,5030000000.0,4.85,16.60,3.50,2560000000.0,2.53,25790000000.0,1.05,34.42,10190000000.0,83080000000.0,0.19,84.82,25580000.0,2.57,2.48,24840000.0,N/A
112,N/A,N/A,cvx,N/A,N/A,N/A,N/A,N/A,28.38,38.19,2.05,1.70,5.35,1.29,0.38,249180000000.0,64.59,249180000000.0,284500000000.0,21.76,0.50,2.34,13.93,2.34,30630000000.0,249180000000.0,6500000000.0,3.43,52.10,16.90,6650000000.0,3.5,41970000000.0,1.04,77.24,18150000000.0,249180000000.0,0.05,66.22,22890000.0,4.11,1.21,22840000.0,N/A
113,N/A,N/A,d,N/A,N/A,N/A,N/A,N/A,198.93,22.25,3.90,2.99,17.20,33.59,3.61,48590000000.0,19.72,48590000000.0,85160000000.0,18.69,5.62,6.83,13.39,6.83,5780000000.0,48590000000.0,2140000000.0000002,3.39,3.60,1.50,0.37,0.37,36810000000.0,0.47,25.28,4410000000.0,48590000000.0,0.34,68.76,14090000.0,6.56,2.25,12930000.0,N/A
114,N/A,N/A,dal,N/A,N/A,N/A,N/A,N/A,63.60,11.16,0.95,2.81,8.67,14.20,7.00,39250000000.0,57.28,39250000000.0,45260000000.0,0.95,0.95,1.10,5.62,1.10,23700000000.0,39250000000.0,3580000000.0,4.95,8.00,8.30,2640000000.0,3.73,8830000000.0,0.42,19.65,0.88,39250000000.0,48.59,0.00,9200000.0,1.56,1.25,11080000.0,N/A
